Day,Metric,Unit,Amount
1/11/2018,Blood Glucose,mg/dL,100
1/11/2018,Blood Glucose,mg/dL,109
1/11/2018,Body Fat (Nokia),%,21.305
1/11/2018,Weight (Nokia),lbs,175.497
1/12/2018,Weight (Nokia),lbs,175.576
1/12/2018,Body Fat (Nokia),%,21.095
1/13/2018,Weight (Nokia),lbs,175.801
1/13/2018,Weight (Nokia),lbs,175.779
1/13/2018,Body Fat (Nokia),%,20.23
1/14/2018,Weight (Nokia),lbs,177.97
1/14/2018,Body Fat (Nokia),%,20.947
1/15/2018,Blood Glucose,mg/dL,112
1/15/2018,Blood Glucose,mg/dL,100
1/15/2018,Weight (Nokia),lbs,180.561
1/15/2018,Body Fat (Nokia),%,22.075
1/16/2018,Blood Glucose,mg/dL,102
1/16/2018,Blood Glucose,mg/dL,104
1/16/2018,Weight (Nokia),lbs,178.87
1/16/2018,Body Fat (Nokia),%,20.941
1/17/2018,Blood Glucose,mg/dL,124
1/17/2018,Weight (Nokia),lbs,178.588
1/17/2018,Body Fat (Nokia),%,21.492
1/17/2018,Blood Glucose,mg/dL,124
1/19/2018,Blood Glucose,mg/dL,93
1/19/2018,Weight (Nokia),lbs,178.735
1/19/2018,Body Fat (Nokia),%,17.897
1/19/2018,Blood Glucose,mg/dL,93
1/20/2018,Weight (Nokia),lbs,177.47
1/20/2018,Weight (Nokia),lbs,177.849
1/20/2018,Body Fat (Nokia),%,19.685
1/20/2018,Body Fat (Nokia),%,18.366
1/21/2018,Weight (Nokia),lbs,180.501
1/21/2018,Body Fat (Nokia),%,19.811
1/21/2018,Weight (Nokia),lbs,177.346
1/21/2018,Body Fat (Nokia),%,20.449
1/22/2018,Weight (Nokia),lbs,177.36
1/22/2018,Body Fat (Nokia),%,19.515
1/23/2018,Body Fat (Nokia),%,17.953
1/23/2018,Weight (Nokia),lbs,176.491
1/23/2018,Body Fat (Nokia),%,20.698
1/23/2018,Blood Glucose,mg/dL,106
1/23/2018,Blood Glucose,mg/dL,102
1/24/2018,Body Fat (Nokia),%,20.567
1/24/2018,Weight (Nokia),lbs,176.866
1/25/2018,Weight (Nokia),lbs,176.068
1/25/2018,Body Fat (Nokia),%,10.255
1/26/2018,Weight (Nokia),lbs,175.724
1/26/2018,Body Fat (Nokia),%,10.062
1/27/2018,Weight (Nokia),lbs,176.125
1/27/2018,Body Fat (Nokia),%,9.826
1/28/2018,Weight (Nokia),lbs,175.29
1/28/2018,Body Fat (Nokia),%,9.747
1/29/2018,Weight (Nokia),lbs,178.638
1/29/2018,Body Fat (Nokia),%,20.412
1/29/2018,Weight (Nokia),lbs,177.939
1/29/2018,Body Fat (Nokia),%,20.84
1/29/2018,Blood Glucose,mg/dL,103
1/29/2018,Blood Glucose,mg/dL,95
1/30/2018,Weight (Nokia),lbs,176.939
1/30/2018,Body Fat (Nokia),%,20.447
1/31/2018,Weight (Nokia),lbs,176.623
1/31/2018,Body Fat (Nokia),%,20.595
2/1/2018,Weight (Nokia),lbs,177.208
2/1/2018,Body Fat (Nokia),%,20.702
2/2/2018,Weight (Nokia),lbs,176.8
2/2/2018,Body Fat (Nokia),%,20.5
2/3/2018,Weight (Nokia),lbs,175.387
2/3/2018,Body Fat (Nokia),%,19.119
2/4/2018,Weight (Nokia),lbs,176.729
2/4/2018,Body Fat (Nokia),%,20.533
2/5/2018,Blood Glucose,mg/dL,121
2/5/2018,Weight (Nokia),lbs,176.606
2/5/2018,Body Fat (Nokia),%,21.933
2/6/2018,Weight (Nokia),lbs,175.466
2/6/2018,Body Fat (Nokia),%,19.651
2/7/2018,Blood Glucose,mg/dL,111
2/7/2018,Weight (Nokia),lbs,177.022
2/7/2018,Body Fat (Nokia),%,19.814
2/8/2018,Weight (Nokia),lbs,176.2
2/8/2018,Body Fat (Nokia),%,20.382
2/9/2018,Weight (Nokia),lbs,174.167
2/9/2018,Body Fat (Nokia),%,21.114
2/10/2018,Weight (Nokia),lbs,176.326
2/10/2018,Body Fat (Nokia),%,20.018
2/11/2018,Weight (Nokia),lbs,176.156
2/11/2018,Body Fat (Nokia),%,21.401
2/12/2018,Blood Glucose,mg/dL,109
2/12/2018,Weight (Nokia),lbs,177.287
2/12/2018,Body Fat (Nokia),%,21.575
2/13/2018,Blood Glucose,mg/dL,120
2/13/2018,Blood Glucose,mg/dL,113
2/13/2018,Weight (Nokia),lbs,174.588
2/13/2018,Body Fat (Nokia),%,20.558
2/14/2018,Blood Glucose,mg/dL,96
2/14/2018,Weight (Nokia),lbs,174.148
2/14/2018,Body Fat (Nokia),%,20.622
2/15/2018,Blood Glucose,mg/dL,94
2/15/2018,Weight (Nokia),lbs,174.494
2/15/2018,Body Fat (Nokia),%,19.091
2/16/2018,Weight (Nokia),lbs,174.652
2/16/2018,Body Fat (Nokia),%,18.997
2/17/2018,Weight (Nokia),lbs,177.626
2/17/2018,Body Fat (Nokia),%,19.039
2/18/2018,Weight (Nokia),lbs,175.124
2/18/2018,Body Fat (Nokia),%,19.022
2/19/2018,Weight (Nokia),lbs,173.623
2/19/2018,Body Fat (Nokia),%,20.57
2/20/2018,Blood Glucose,mg/dL,113
2/20/2018,Weight (Nokia),lbs,172.626
2/20/2018,Body Fat (Nokia),%,18.761
2/21/2018,Blood Glucose,mg/dL,113
2/21/2018,Weight (Nokia),lbs,175.245
2/21/2018,Body Fat (Nokia),%,15.738
2/21/2018,Weight (Nokia),lbs,173.616
2/21/2018,Body Fat (Nokia),%,19.403
2/22/2018,Weight (Nokia),lbs,172.776
2/22/2018,Body Fat (Nokia),%,19.714
2/22/2018,Blood Glucose,mg/dL,112
2/22/2018,Blood Glucose,mg/dL,94
2/23/2018,Weight (Nokia),lbs,173.003
2/23/2018,Body Fat (Nokia),%,19.994
2/24/2018,Weight (Nokia),lbs,172.551
2/24/2018,Body Fat (Nokia),%,21.369
2/25/2018,Weight (Nokia),lbs,172.086
2/25/2018,Body Fat (Nokia),%,20.267
2/26/2018,Blood Glucose,mg/dL,113
2/26/2018,Weight (Nokia),lbs,173.707
2/26/2018,Body Fat (Nokia),%,20.104
2/27/2018,Weight (Nokia),lbs,173.943
2/27/2018,Body Fat (Nokia),%,18.961
2/27/2018,Blood Glucose,mg/dL,88
2/27/2018,Blood Glucose,mg/dL,91
2/28/2018,Weight (Nokia),lbs,173.429
2/28/2018,Body Fat (Nokia),%,19.576
2/28/2018,Blood Glucose,mg/dL,98
3/1/2018,Blood Glucose,mg/dL,107
3/1/2018,Weight (Nokia),lbs,172.644
3/1/2018,Body Fat (Nokia),%,20.559
3/2/2018,Weight (Nokia),lbs,172.944
3/2/2018,Body Fat (Nokia),%,20.728
3/3/2018,Weight (Nokia),lbs,177.79
3/3/2018,Body Fat (Nokia),%,19.257
3/4/2018,Weight (Nokia),lbs,179.441
3/4/2018,Body Fat (Nokia),%,18.355
3/5/2018,Weight (Nokia),lbs,175.096
3/5/2018,Body Fat (Nokia),%,19.063
3/6/2018,Weight (Nokia),lbs,172.829
3/6/2018,Body Fat (Nokia),%,19.16
3/6/2018,Blood Glucose,mg/dL,109
3/7/2018,Weight (Nokia),lbs,172.005
3/7/2018,Body Fat (Nokia),%,20.161
3/7/2018,Blood Glucose,mg/dL,84
3/8/2018,Weight (Nokia),lbs,172.909
3/8/2018,Body Fat (Nokia),%,19.929
3/8/2018,Blood Glucose,mg/dL,117
3/8/2018,Blood Glucose,mg/dL,101
3/9/2018,Weight (Nokia),lbs,174.771
3/9/2018,Body Fat (Nokia),%,19.804
3/10/2018,Weight (Nokia),lbs,173.579
3/10/2018,Body Fat (Nokia),%,21.223
3/11/2018,Weight (Nokia),lbs,176.489
3/11/2018,Body Fat (Nokia),%,19.787
3/12/2018,Weight (Nokia),lbs,177.845
3/12/2018,Body Fat (Nokia),%,19.648
3/12/2018,Weight (Nokia),lbs,177.8
3/12/2018,Blood Glucose,mg/dL,117
3/13/2018,Weight (Nokia),lbs,174.108
3/13/2018,Body Fat (Nokia),%,20.209
3/14/2018,Weight (Nokia),lbs,175.177
3/14/2018,Body Fat (Nokia),%,19.545
3/15/2018,Weight (Nokia),lbs,173.64
