Day,Exercise,Minutes,Calories Burned
2018-6-23,"walking, 4.0 mph, level, firm surface, very brisk pace",90.0,-481.90
2018-6-24,"walking, 4.0 mph, level, firm surface, very brisk pace",90.0,-476.69
2018-6-26,"walking, 4.0 mph, level, firm surface, very brisk pace",60.0,-321.27
2018-6-27,"walking, 4.0 mph, level, firm surface, very brisk pace",60.0,-321.27
2018-6-28,"mowing lawn, walk, power mower, moderate or vigorous effort",30.0,-159.84
2018-6-30,"walking, 4.0 mph, level, firm surface, very brisk pace",100.0,-521.67
2018-7-2,"walking, 4.0 mph, level, firm surface, very brisk pace",60.0,-312.50
2018-7-2,"walking, 4.0 mph, level, firm surface, very brisk pace",60.0,-312.12
2018-7-3,"walking, 4.0 mph, level, firm surface, very brisk pace",55.0,-290.22
2018-7-5,"walking, 3.5 mph, level, brisk, firm surface, walking for exercise",62.0,-268.12
2018-7-5,"bicycling, leisure, 9.4 mph",90.0,-566.12
2018-7-6,"walking, 4.0 mph, level, firm surface, very brisk pace",61.0,-318.82
2018-7-9,"walking, 4.0 mph, level, firm surface, very brisk pace",60.0,-318.66
2018-7-12,"walking, 3.5 mph, level, brisk, firm surface, walking for exercise",60.0,-262.68
2018-7-12,"walking, 3.5 mph, level, brisk, firm surface, walking for exercise",60.0,-262.68
2018-7-13,"walking, 2.9 to 3.5 mph, uphill, 1 to 5% grade",65.0,-375.00
2018-7-13,"walking, 2.9 to 3.5 mph, uphill, 6% to 15% grade",65.0,-610.46
2018-7-19,"MAF 5K Walk (Watch) (Strava)",52.0,-396.00
2018-7-19,"MAF walk (Polar HR Strap) (Strava)",52.0,-523.80
2018-7-17,"MAF walk not quite 5K. (Strava)",51.0,-452.30
2018-7-17,"Evening Walk (Strava)",52.0,-303.00
2018-7-16,"MAF 1:02:54 row (Strava)",62.0,-498.00
2018-7-15,"Afternoon Walk (Strava)",79.0,-478.00
2018-7-15,"MAF walk 4 mi (Strava)",79.0,-716.80
2018-7-15,"MAF 1 hour (Samsung) (Strava)",61.0,-429.00
2018-7-15,"MAF walk 5k (Android) (Strava)",60.0,-580.40
2018-7-14,"MAF walk 5 mi (Strava)",81.0,-790.40
2018-7-14,"MAF Walk - 5 mi (Strava)",81.0,-550.00
2018-7-8,"MAF walk (Strava)",69.0,-611.90
2018-7-8,"MAF 4 Mile Walk/Run (Strava)",70.0,-610.00
2018-7-8,"Lunch Walk (Strava)",17.0,-148.00
2018-7-9,"MAF woodruff dry walk. (Strava)",68.0,-590.00
2018-6-22,"5k Walk (Strava)",49.0,-472.80
2018-6-24,"MAF 5 mile baseline (Strava)",84.0,-819.30
2018-6-24,"MAF 5 mile baseline (Strava)",84.0,-837.30
2018-6-26,"MAF Track 4 miles 1 hr (Strava)",60.0,-587.40
2018-6-26,"MAF 1 hour (Strava)",63.0,-593.00
2018-6-27,"1 Hour MAF - 4 miles (Watch) (Strava)",61.0,-620.80
2018-6-27,"1 Hour MAF - 4 miles (Android) (Strava)",61.0,-622.90
2018-6-28,"Mowing lawn (Strava)",49.0,-52.80
2018-6-30,"Chef Joe omelette run (Walked) (Strava)",49.0,-491.30
2018-6-30,"Chef Joe omelette run (walked) (Strava)",50.0,-490.90
2018-6-30,"Warmup for Chef Joe Omelette Run 5K (Strava)",52.0,-465.30
2018-6-30,"Warmup for Chef Joe Omelette Run 5K (Strava)",51.0,-469.60
2018-7-2,"MAF 1 hr walk (Strava)",58.0,-521.40
2018-7-2,"MAF 1 hr Walk (Strava)",58.0,-521.30
2018-7-3,"MAF 1 hr Walk - Cut Short by Rain (Strava)",54.0,-488.50
2018-7-2,"MAF - 1 hr stroll in the evening (Strava)",58.0,-462.90
2018-7-5,"MAF bike Ride (Samsung) (Strava)",109.0,-571.00
2018-7-5,"MAF Walk 1 hr (Strava)",62.0,-515.50
2018-7-6,"MAF 1 hour (Samsung) (Strava)",60.0,-514.40
2018-7-7,"5K Rowing MAF Baseline (Strava)",30.0,-250.00
2018-7-7,"MAF 1 hour (Samsung) (Strava)",60.0,-549.50
2018-7-7,"MAF walk 1 hour (Strava/Phone) (Strava)",61.0,-561.30
2018-7-11,"5K Walk - Woodruff Race - Connellsville (Strava)",50.0,-477.20
2018-7-11,"Woodruff 5k (Strava)",52.0,-484.30
2018-7-11,"Evening Walk (Strava)",7.0,-62.00
2018-7-11,"Walk to track (Strava)",8.0,-66.00
2018-7-12,"MAF walk with stop and chat w neighbors. (Strava)",96.0,-581.70
2018-7-12,"MAF Walk in the evening (Strava)",96.0,-569.70
2018-7-12,"Afternoon Walk Hutchinson Park - 6 laps of ""inner"" loop (Strava)",61.0,-529.10
2018-7-11,"Walk home from the Woodruff race. (Strava)",10.0,-48.90
2018-7-13,"Lunch Walk (Strava)",71.0,-617.30
2018-7-13,"MAF walk. (Strava)",71.0,-623.70
2018-7-19,"Mowing lawn, walk, power mower",32.0,-192.26
2018-7-20,"Morning Walk (Strava)",61.0,-276.00
2018-7-20,"MAF walk (Strava)",61.0,-509.30
