Day,Exercise,Minutes,Calories Burned
2017-11-28,"rope jumping, moderate pace, 100-120 skips/min, general, 2 foot skip, plain bounce",20.0,-315.94
2017-11-29,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",6.0,-24.28
2017-11-29,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",20.0,-144.50
2017-11-29,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",20.0,-80.92
2017-11-30,"rowing, stationary, general, moderate effort",8.0,-43.83
2017-11-30,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",12.0,-48.44
2017-11-30,"rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce",10.0,-112.46
2017-12-1,"CrossFit Warmup",10.0,-35.00
2017-12-1,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",20.0,-145.10
2017-12-2,"CrossFit Warmup",10.0,-35.00
2017-12-2,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",24.0,-174.16
2017-12-4,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",20.0,-145.31
2017-12-4,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",8.0,-32.55
2017-12-4,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",20.0,-81.37
2017-12-5,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",8.0,-32.70
2017-12-5,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",25.0,-182.45
2017-12-6,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",12.0,-87.34
2017-12-6,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",5.0,-20.38
2017-12-6,"running",12.0,-122.28
2017-12-7,"sitting, studying, general, including reading and/or writing, light effort",400.0,-173.64
2017-12-8,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",420.0,-303.11
2017-12-8,"walking, 2.5 mph, level, firm surface",30.0,-86.60
2017-12-8,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-121.25
2017-12-8,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",5.0,-50.52
2017-12-9,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",54.0,-390.76
2017-12-10,"General housework, light",120.0,-256.94
2017-12-11,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",400.0,-286.82
2017-12-11,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",8.0,-57.15
2017-12-11,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",25.0,-100.02
2017-12-11,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",8.0,-32.01
2017-12-12,"rope jumping, moderate pace, 100-120 skips/min, general, 2 foot skip, plain bounce",30.0,-463.69
2017-12-13,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-121.68
2017-12-14,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",480.0,-350.06
2017-12-15,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",45.0,-320.19
2017-12-16,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",24.0,-170.07
2017-12-18,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",20.0,-143.66
2017-12-19,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",22.0,-158.02
2017-12-20,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",55.0,-392.15
2017-12-21,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",15.0,-59.62
2017-12-22,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-119.24
2017-12-23,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",35.0,-248.61
2017-12-25,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",10.0,-99.51
2017-12-26,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-120.38
2017-12-27,"resistance (weight) training, squats , slow or explosive effort",24.0,-137.58
2017-12-29,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",20.0,-142.74
2017-12-30,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",50.0,-354.01
