"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"130","452.0","1287.0","187.2","53","483","18","109"
"131","455.7","1297.0","187.2","53","483","18","112"
"132","459.0","1306.0","183.6","57","494","16","115"
"133","462.4","1315.0","185.1","55","490","19","117"
"134","466.1","1324.0","192.7","49","468","16","117"
"135","469.5","1333.0","192.7","49","468","16","117"
"136","473.0","1344.0","184.5","56","492","18","116"
"137","476.6","1354.0","171.1","70","540","17","116"
"138","479.9","1364.0","171.1","70","540","17","117"
"139","483.4","1375.0","165.1","78","567","18","117"
"140","486.7","1386.0","154.5","95","626","17","118"
"141","489.9","1396.0","154.6","95","626","18","118"
"142","493.3","1406.0","164.2","79","572","19","119"
"143","496.6","1416.0","173.7","67","530","18","119"
"144","499.8","1425.0","173.7","67","530","18","121"
"145","503.4","1435.0","174.0","66","528","19","121"
"146","506.7","1444.0","176.7","63","518","18","121"
"147","509.8","1453.0","176.7","63","518","18","120"
"148","513.0","1462.0","184.6","56","491","20","120"
"149","516.2","1471.0","170.8","70","541","19","119"
"150","519.4","1481.0","170.8","70","541","19","118"
"151","522.6","1490.0","167.5","74","556","19","120"
"152","526.0","1500.0","170.1","71","544","18","121"
"153","529.2","1510.0","170.1","71","544","18","121"
"154","532.6","1520.0","170.0","71","545","18","121"
"155","536.0","1530.0","170.0","71","545","18","122"
"156","539.5","1540.0","171.9","69","537","18","122"
"157","542.9","1550.0","174.0","66","528","17","123"
"158","546.7","1561.0","170.9","70","541","16","123"
"159","550.4","1571.0","170.9","70","541","16","123"
"160","554.1","1582.0","180.2","60","506","16","123"
"161","557.8","1592.0","180.2","60","506","16","123"
"162","561.4","1602.0","181.2","59","502","16","122"
"163","565.2","1612.0","183.4","57","495","16","122"
"164","568.8","1622.0","183.4","57","495","16","121"
"165","572.2","1632.0","171.6","69","538","18","121"
"166","575.5","1642.0","171.6","69","538","18","121"
"167","578.8","1652.0","169.9","71","545","18","121"
"168","582.4","1662.0","167.2","75","557","18","122"
"169","585.9","1672.0","174.2","66","528","17","122"
"170","589.4","1682.0","178.6","61","511","17","122"
"171","593.1","1693.0","174.8","66","525","16","123"
"172","596.6","1702.0","178.6","61","511","17","123"
"173","599.8","1711.0","178.6","61","511","17","123"
"174","603.1","1721.0","178.4","62","512","18","123"
"175","606.4","1730.0","178.4","62","512","18","123"
"176","609.6","1739.0","169.6","72","547","19","122"
"177","612.8","1749.0","169.6","72","547","19","123"
"178","616.1","1758.0","175.9","64","521","18","123"
"179","619.4","1767.0","175.9","64","521","18","124"
"180","622.8","1777.0","182.8","57","497","18","124"
"181","625.8","1785.0","180.6","59","504","18","123"
"182","629.1","1795.0","171.4","70","539","18","122"
"183","632.5","1805.0","174.7","66","526","18","121"
"184","635.9","1815.0","174.7","66","526","18","119"
"185","639.3","1824.0","175.0","65","524","18","119"
"186","642.6","1835.0","165.1","78","567","18","119"
"187","646.0","1845.0","165.1","78","567","18","120"
"188","649.2","1854.0","168.8","73","550","18","120"
"189","652.6","1864.0","169.5","72","547","18","121"
"190","655.9","1874.0","169.5","72","547","18","121"
"191","659.4","1884.0","173.3","67","531","18","122"
"192","662.4","1893.0","171.0","70","541","17","122"
"193","665.7","1902.0","173.6","67","530","18","123"
"194","669.0","1912.0","178.4","62","512","18","123"
"195","672.4","1921.0","178.4","62","512","18","123"
"196","675.8","1931.0","179.9","60","507","18","123"
"197","679.2","1940.0","181.2","59","502","18","124"
"198","682.9","1950.0","181.2","59","502","18","127"
"199","686.7","1961.0","179.3","61","509","16","128"
"200","690.9","1972.0","176.5","64","519","16","127"
"201","694.3","1981.0","185.2","55","489","14","124"
"202","697.5","1990.0","181.0","59","503","18","122"
"203","700.5","1999.0","176.0","64","521","20","121"
"204","703.8","2008.0","176.0","64","521","20","121"
"205","707.0","2017.0","175.8","64","521","18","120"
"206","710.2","2026.0","177.4","63","515","19","120"
"207","713.4","2036.0","172.9","68","533","19","121"
"208","716.3","2044.0","166.9","75","559","19","121"
"209","719.6","2054.0","173.0","68","532","18","121"
"210","722.8","2063.0","173.0","68","532","18","122"
"211","726.3","2073.0","176.7","63","518","18","122"
"212","729.6","2083.0","174.8","66","525","18","123"
"213","733.1","2092.0","179.1","61","509","18","123"
"214","736.4","2101.0","179.1","61","509","18","124"
"215","739.9","2111.0","185.5","55","488","18","123"
"216","743.7","2121.0","185.7","55","488","16","123"
"217","747.2","2130.0","185.7","55","488","16","122"
"218","750.1","2139.0","177.5","63","515","21","122"
"219","753.2","2147.0","177.5","63","515","21","122"
"220","756.6","2157.0","178.2","62","513","18","122"
"221","759.9","2166.0","178.2","62","513","18","123"
"222","763.2","2175.0","179.5","61","508","18","124"
"223","766.7","2185.0","179.5","61","508","18","124"
"224","770.4","2195.0","186.8","54","485","17","125"
"225","774.0","2204.0","193.1","49","467","17","124"
"226","777.8","2214.0","193.1","49","467","17","123"
"227","781.5","2224.0","185.5","55","488","16","121"
"228","785.1","2234.0","187.2","53","483","17","121"
"229","788.7","2243.0","189.9","51","476","17","120"
"230","792.2","2253.0","182.2","58","499","17","120"
"231","796.0","2264.0","182.2","58","499","17","120"
"232","799.4","2274.0","173.6","67","530","16","120"
"233","802.8","2284.0","173.7","67","530","17","120"
"234","806.3","2293.0","170.0","71","545","18","120"
"235","809.7","2303.0","182.0","58","500","18","121"
"236","813.4","2313.0","182.0","58","500","18","121"
"237","816.9","2323.0","183.8","56","494","16","122"
"238","820.7","2333.0","180.6","59","504","16","122"
"239","824.0","2343.0","179.8","60","507","18","122"
"240","827.7","2353.0","179.8","60","507","18","122"
"241","831.6","2364.0","176.9","63","517","15","122"
"242","835.1","2374.0","179.0","61","510","18","122"
"243","838.7","2384.0","178.0","62","513","17","122"
"244","842.2","2394.0","178.0","62","513","17","122"
"245","845.8","2404.0","175.0","65","524","17","122"
"246","849.3","2414.0","175.5","65","523","17","122"
"247","852.6","2423.0","180.4","60","505","18","122"
"248","856.2","2433.0","180.4","60","505","18","123"
"249","859.9","2443.0","179.1","61","509","17","124"
"250","863.7","2454.0","185.7","55","488","16","124"
"251","867.5","2464.0","185.7","55","488","16","124"
"252","871.2","2473.0","190.3","51","475","16","124"
"253","874.8","2483.0","190.3","51","475","16","122"
"254","878.4","2493.0","187.5","53","482","17","122"
"255","882.3","2503.0","187.4","53","483","16","122"
"256","886.1","2513.0","188.2","53","480","16","122"
"257","889.8","2523.0","188.2","53","480","16","122"
"258","893.5","2533.0","185.5","55","488","16","122"
"259","897.4","2544.0","185.5","55","488","16","122"
"260","901.0","2553.0","184.9","55","490","16","122"
"261","904.7","2563.0","188.6","52","479","16","121"
"262","908.2","2573.0","188.6","52","479","16","121"
"263","911.8","2582.0","185.2","55","489","17","120"
"264","915.2","2592.0","182.4","58","498","17","120"
"265","918.5","2600.0","191.2","50","472","17","119"
"266","921.7","2609.0","184.1","56","493","19","119"
"267","924.9","2618.0","181.5","59","501","18","119"
"268","928.2","2628.0","173.9","67","529","18","120"
"269","931.4","2637.0","173.9","67","529","18","120"
"270","934.7","2646.0","174.6","66","526","18","121"
"271","938.1","2656.0","182.4","58","498","18","121"
"272","941.5","2665.0","182.4","58","498","18","121"
"273","945.0","2674.0","185.3","55","489","18","122"
"274","948.8","2684.0","185.9","54","487","17","122"
"275","952.5","2694.0","190.8","50","473","16","121"
"276","955.9","2703.0","186.9","54","484","16","121"
"277","959.5","2714.0","175.1","65","524","17","120"
"278","962.7","2723.0","175.1","65","524","17","120"
"279","965.8","2731.0","178.6","61","511","19","120"
"280","969.1","2740.0","190.4","51","474","18","121"
"281","972.6","2749.0","184.5","56","492","17","122"
"282","975.8","2758.0","184.5","56","492","17","122"
"283","979.3","2767.0","188.7","52","479","19","122"
"284","982.7","2776.0","187.9","53","481","17","122"
"285","986.2","2786.0","186.9","54","484","17","122"
"286","989.7","2795.0","183.2","57","496","18","122"
"287","993.4","2805.0","183.2","57","496","18","122"
"288","997.1","2815.0","185.0","55","490","16","122"
"289","1000.6","2825.0","187.4","53","483","17","122"
"290","1004.5","2835.0","187.4","53","483","17","122"
"291","1007.3","2843.0","186.7","54","485","16","122"
"292","1010.2","2852.0","173.3","67","531","21","122"
"293","1013.2","2860.0","171.3","70","539","21","122"
"294","1016.5","2870.0","178.3","62","512","20","122"
"295","1019.6","2879.0","171.9","69","537","19","123"
"296","1022.7","2887.0","179.4","61","508","20","123"
"297","1025.8","2896.0","179.4","61","508","20","124"
"298","1029.4","2905.0","182.9","57","497","19","124"
"299","1032.5","2913.0","191.7","50","471","17","124"
"300","1035.9","2923.0","189.0","52","478","20","123"
"301","1039.2","2932.0","189.5","51","477","18","122"
"302","1042.7","2942.0","178.8","61","510","18","121"
"303","1046.1","2951.0","181.7","58","501","18","121"
"304","1049.1","2959.0","184.4","56","492","20","121"
"305","1052.7","2969.0","183.3","57","495","17","121"
"306","1056.0","2978.0","188.1","53","481","18","121"
"307","1059.5","2987.0","193.5","48","466","17","121"
"308","1062.9","2996.0","193.5","48","466","17","121"
"309","1066.5","3005.0","191.2","50","472","18","121"
"310","1069.9","3014.0","191.2","50","472","17","121"
"311","1073.6","3024.0","189.2","52","478","16","121"
"312","1076.9","3033.0","189.2","52","478","16","121"
"313","1080.1","3042.0","183.4","57","495","19","121"
"314","1083.6","3051.0","185.2","55","489","17","121"
"315","1087.1","3060.0","188.6","52","479","17","121"
"316","1090.6","3070.0","189.8","51","476","17","122"
"317","1094.1","3079.0","195.9","47","460","17","122"
"318","1097.7","3088.0","195.9","47","460","17","122"
"319","1101.2","3097.0","189.8","51","476","18","122"
"320","1104.5","3106.0","184.2","56","492","18","121"
"321","1107.7","3115.0","184.2","56","492","18","120"
"322","1111.3","3125.0","182.4","58","498","19","120"
"323","1114.6","3134.0","178.0","62","513","18","120"
"324","1118.0","3144.0","178.0","62","513","18","120"
"325","1121.1","3153.0","173.1","67","532","19","120"
"326","1124.5","3163.0","173.1","67","532","19","120"
"327","1127.8","3173.0","167.8","74","555","18","121"
"328","1131.0","3182.0","171.7","69","538","18","122"
"329","1134.0","3191.0","171.3","70","539","19","122"
"330","1137.1","3200.0","172.3","68","535","19","123"
"331","1140.3","3209.0","172.3","68","535","19","123"
"332","1143.5","3218.0","184.2","56","492","18","124"
"333","1146.8","3227.0","184.2","56","492","18","124"
"334","1150.4","3236.0","185.9","54","487","18","125"
"335","1153.7","3245.0","190.3","51","475","17","124"
"336","1157.1","3253.0","196.1","46","460","18","124"
"337","1160.4","3262.0","196.1","46","460","18","122"
"338","1164.0","3272.0","184.4","56","492","17","122"
"339","1167.5","3281.0","184.4","56","492","17","122"
"340","1171.0","3291.0","185.7","55","488","17","123"
"341","1174.5","3300.0","186.9","54","484","17","124"
"342","1178.4","3310.0","188.6","52","479","17","134"
"343","1182.0","3319.0","200.2","44","450","17","142"
"344","1185.6","3328.0","200.1","44","450","17","147"
"345","1192.7","3343.0","249.6","23","377","56","153"
"346","1196.6","3351.0","249.6","23","377","56","153"
"347","1199.6","3358.0","235.7","27","392","16","0"
"348","1202.5","3365.0","223.0","32","408","20","0"
"349","1205.7","3373.0","203.0","42","444","19","0"
"350","1209.0","3381.0","203.0","42","444","19","0"
"351","1214.5","3394.0","202.4","42","445","18","117"
"352","1217.5","3401.0","211.2","37","428","11","120"
"353","1220.4","3409.0","199.8","44","451","20","121"
"354","1223.8","3418.0","193.8","48","465","20","122"
"355","1227.1","3426.0","198.2","45","454","18","122"
"356","1230.4","3434.0","199.4","44","452","18","121"
"357","1233.8","3443.0","198.0","45","455","18","119"
"358","1237.3","3452.0","197.8","45","455","17","117"
"359","1241.0","3461.0","199.0","44","453","17","116"
"360","1244.1","3469.0","194.0","48","465","19","117"
"361","1247.2","3478.0","184.0","56","493","19","116"
"362","1250.6","3487.0","179.6","60","508","18","115"
"363","1254.1","3496.0","179.6","60","508","18","115"
"364","1257.6","3505.0","186.4","54","486","17","115"
"365","1261.3","3515.0","187.5","53","482","16","115"
"366","1264.9","3525.0","187.5","53","482","16","116"
"367","1268.6","3535.0","186.7","54","485","16","117"
"368","1272.3","3545.0","184.7","56","491","16","117"
"369","1276.0","3555.0","184.7","56","491","16","118"
"370","1279.8","3565.0","188.4","52","480","16","118"
"371","1283.3","3575.0","188.4","52","480","16","118"
"372","1287.0","3585.0","189.2","52","478","17","118"
"373","1290.2","3594.0","172.4","68","535","19","118"
"374","1293.4","3603.0","172.4","68","535","19","118"
"375","1296.7","3613.0","171.5","69","538","18","117"
"376","1299.9","3622.0","171.5","69","538","18","118"
"377","1302.8","3630.0","179.1","61","509","21","118"
"378","1305.7","3638.0","181.8","58","500","20","118"
"379","1308.7","3646.0","179.3","61","509","21","119"
"380","1311.9","3655.0","179.3","61","509","21","119"
"381","1315.1","3664.0","180.6","59","504","19","120"
"382","1318.4","3673.0","188.8","52","479","19","121"
"383","1321.8","3682.0","187.6","53","482","18","121"
"384","1325.2","3691.0","185.7","55","488","18","120"
"385","1328.4","3700.0","185.7","55","488","18","120"
"386","1331.5","3708.0","179.8","60","507","18","120"
"387","1334.7","3717.0","181.3","59","502","19","120"
"388","1338.0","3726.0","181.3","59","502","19","120"
"389","1341.1","3734.0","185.0","55","490","18","121"
"390","1344.3","3743.0","188.3","52","480","19","122"
"391","1347.6","3751.0","188.3","52","480","19","124"
"392","1351.1","3760.0","190.8","50","473","18","124"
"393","1354.8","3769.0","199.2","44","452","17","124"
"394","1358.4","3779.0","199.2","44","452","17","123"
"395","1362.0","3789.0","189.7","51","476","16","122"
"396","1365.7","3798.0","189.3","52","477","16","120"
"397","1369.3","3807.0","194.6","47","463","17","119"
"398","1373.0","3817.0","194.6","47","463","17","119"
"399","1376.6","3827.0","192.3","49","469","16","118"
"400","1380.4","3836.0","192.3","49","469","16","118"
"401","1383.9","3845.0","196.2","46","459","16","118"
"402","1387.3","3854.0","188.7","52","479","18","118"
"403","1390.5","3863.0","188.7","52","479","18","118"
"404","1393.7","3871.0","197.9","45","455","19","119"
"405","1396.7","3879.0","194.2","48","464","20","119"
"406","1400.3","3888.0","194.2","48","464","20","120"
"407","1403.5","3896.0","186.5","54","485","17","120"
"408","1406.7","3904.0","196.8","46","458","19","120"
"409","1409.9","3913.0","196.8","46","458","19","120"
"410","1413.4","3922.0","197.1","46","457","18","119"
"411","1416.9","3931.0","191.6","50","471","17","119"
"412","1420.2","3940.0","188.8","52","479","18","120"
"413","1423.8","3949.0","188.8","52","479","18","120"
"414","1427.3","3958.0","188.8","52","479","17","120"
"415","1430.8","3968.0","192.8","49","468","17","120"
"416","1434.4","3977.0","192.1","49","470","17","121"
"417","1438.1","3986.0","190.7","50","473","17","121"
"418","1441.7","3996.0","201.2","43","448","16","120"
"419","1445.0","4004.0","201.2","43","448","16","120"
"420","1448.3","4013.0","182.0","58","500","18","119"
"421","1451.4","4022.0","182.0","58","500","18","118"
"422","1454.7","4031.0","185.2","55","489","18","118"
"423","1457.8","4040.0","185.2","55","489","18","118"
"424","1461.0","4048.0","186.3","54","486","19","118"
"425","1464.4","4058.0","185.1","55","490","19","119"
"426","1467.7","4067.0","178.8","61","510","18","119"
"427","1471.1","4076.0","186.0","54","487","17","120"
"428","1474.5","4085.0","186.0","54","487","17","120"
"429","1477.7","4093.0","197.3","46","457","19","121"
"430","1481.0","4102.0","197.3","46","457","19","121"
"431","1484.3","4111.0","191.0","50","473","18","121"
"432","1487.6","4119.0","187.7","53","482","18","121"
"433","1491.1","4128.0","194.5","48","463","17","121"
"434","1494.7","4138.0","194.7","47","463","17","121"
"435","1498.3","4147.0","194.7","47","463","17","120"
"436","1501.8","4157.0","190.1","51","475","17","120"
"437","1505.1","4165.0","188.9","52","478","17","120"
"438","1508.5","4175.0","187.2","53","483","19","120"
"439","1512.0","4184.0","181.4","59","502","17","120"
"440","1515.3","4193.0","182.0","58","500","18","120"
"441","1518.7","4202.0","189.1","52","478","17","122"
"442","1522.0","4211.0","189.1","52","478","17","122"
"443","1525.5","4220.0","199.9","44","451","18","123"
"444","1528.8","4228.0","193.6","48","466","17","122"
"445","1532.0","4237.0","193.9","48","465","18","122"
"446","1535.6","4246.0","187.4","53","483","19","121"
"447","1538.8","4255.0","190.1","51","475","17","120"
"448","1542.4","4264.0","190.9","50","473","18","120"
"449","1545.9","4273.0","191.5","50","471","17","120"
"450","1549.5","4282.0","196.7","46","458","17","120"
"451","1553.1","4291.0","194.9","47","462","17","120"
"452","1556.7","4301.0","189.8","51","476","17","119"
"453","1560.3","4310.0","189.8","51","476","17","118"
"454","1563.8","4319.0","191.3","50","472","16","118"
"455","1567.5","4329.0","193.3","48","467","17","117"
"456","1571.2","4339.0","192.1","49","470","16","117"
"457","1575.0","4348.0","192.1","49","470","16","117"
"458","1578.4","4357.0","195.3","47","461","16","117"
"459","1581.5","4366.0","192.8","49","468","18","117"
"460","1584.7","4374.0","180.2","60","506","19","118"
"461","1587.5","4383.0","180.2","60","506","19","119"
"462","1590.3","4390.0","177.9","62","514","22","120"
"463","1593.3","4399.0","177.9","62","514","22","121"
"464","1596.4","4406.0","186.4","54","486","20","121"
"465","1599.2","4414.0","190.7","50","473","21","122"
"466","1602.4","4423.0","190.7","50","473","21","122"
"467","1605.4","4431.0","181.1","59","503","19","122"
"468","1608.5","4439.0","181.7","58","501","20","122"
"469","1611.5","4448.0","184.8","55","491","20","122"
